model,variant,mean_tuning_rps,best_hyperparameters,evaluations_completed,evaluation_budget,early_stopped,infeasible_trials,infeasible_pct,feasible_trials,n_tuning_origins,first_tuning_origin,last_tuning_origin,per_origin_rps,train_rows_min,train_rows_max,predict_rows_total,min_probability,max_probability,max_row_sum_error,random_seed,feature_columns,lgbm_boost_rounds,lgbm_fixed_params,probability_postprocessing,sklearn_version,lightgbm_version,tuning_minutes,tuned_at
lgbm,knn,0.15583815,"{""feature_fraction"": 0.8269326697629207, ""learning_rate"": 0.03258958266232332, ""max_depth"": 5, ""min_data_in_leaf"": 45, ""num_leaves"": 432, ""subsample"": 0.8149561631049148}",100,120,True,32,32.0,68,12,2021-03-05,2022-01-07,"[0.15684317, 0.15162225, 0.15341098, 0.15386862, 0.1619487, 0.15638373, 0.15586842, 0.15590918, 0.15236223, 0.16083345, 0.15024699, 0.16076012]",12866,13963,1197,0.05186049,0.48412375,4.440892098500626e-16,42,"[""feat_ret_4w_recent"", ""feat_ret_4w_seasonal_11m"", ""feat_vol_3m"", ""feat_max_ret_3m"", ""feat_dollar_volume_2m"", ""feat_abs_ret_to_volume_3m"", ""feat_rank1_freq_4w"", ""feat_rank2_freq_4w"", ""feat_rank4_freq_4w"", ""feat_rank5_freq_4w""]",50,"{""bagging_freq"": 1, ""boosting_type"": ""gbdt"", ""linear_tree"": true, ""metric"": ""multi_logloss"", ""num_class"": 5, ""objective"": ""multiclass"", ""random_state"": 42, ""verbose"": -1}",column means shifted to 0.20 (released rule),1.4.2,4.7.0,23.06,2026-08-21T15:21:28Z
lgbm,no_knn,0.15595044,"{""feature_fraction"": 0.6104930788531148, ""learning_rate"": 0.03785517965977751, ""max_depth"": 5, ""min_data_in_leaf"": 50, ""num_leaves"": 192, ""subsample"": 0.716389099741822}",71,120,True,30,42.25,41,12,2021-03-05,2022-01-07,"[0.1563606, 0.14939651, 0.15384455, 0.15280453, 0.1631458, 0.15764707, 0.15578957, 0.15433268, 0.1525507, 0.16323418, 0.15114275, 0.1611563]",12866,13963,1197,0.04658974,0.52598474,4.440892098500626e-16,42,"[""feat_ret_4w_recent"", ""feat_ret_4w_seasonal_11m"", ""feat_vol_3m"", ""feat_max_ret_3m"", ""feat_dollar_volume_2m"", ""feat_abs_ret_to_volume_3m"", ""feat_rank1_freq_4w"", ""feat_rank2_freq_4w"", ""feat_rank4_freq_4w"", ""feat_rank5_freq_4w""]",50,"{""bagging_freq"": 1, ""boosting_type"": ""gbdt"", ""linear_tree"": true, ""metric"": ""multi_logloss"", ""num_class"": 5, ""objective"": ""multiclass"", ""random_state"": 42, ""verbose"": -1}",column means shifted to 0.20 (released rule),1.4.2,4.7.0,9.9,2026-08-21T14:58:24Z
rf,knn,0.15562389,"{""criterion"": ""gini"", ""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 6, ""min_samples_split"": 10, ""n_estimators"": 450}",120,120,False,3,2.5,117,12,2021-03-05,2022-01-07,"[0.15390312, 0.15070275, 0.15410427, 0.15293715, 0.16332951, 0.15672717, 0.15595408, 0.15352293, 0.15266911, 0.16182099, 0.15114982, 0.16066578]",12866,13963,1197,0.02653264,0.55766359,1.2212453270876722e-15,42,"[""feat_ret_4w_recent"", ""feat_ret_4w_seasonal_11m"", ""feat_vol_3m"", ""feat_max_ret_3m"", ""feat_dollar_volume_2m"", ""feat_abs_ret_to_volume_3m"", ""feat_rank1_freq_4w"", ""feat_rank2_freq_4w"", ""feat_rank4_freq_4w"", ""feat_rank5_freq_4w""]",,,column means shifted to 0.20 (released rule),1.4.2,4.7.0,96.27,2026-08-21T14:48:30Z
rf,no_knn,0.15561368,"{""criterion"": ""entropy"", ""max_depth"": 7, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""min_samples_split"": 8, ""n_estimators"": 450}",119,120,True,17,14.29,102,12,2021-03-05,2022-01-07,"[0.15331181, 0.14988429, 0.15472016, 0.15204451, 0.16260085, 0.15792736, 0.15555966, 0.1536437, 0.15328592, 0.16234809, 0.15179693, 0.16024093]",12866,13963,1197,0.0103988,0.48442238,1.1102230246251565e-15,42,"[""feat_ret_4w_recent"", ""feat_ret_4w_seasonal_11m"", ""feat_vol_3m"", ""feat_max_ret_3m"", ""feat_dollar_volume_2m"", ""feat_abs_ret_to_volume_3m"", ""feat_rank1_freq_4w"", ""feat_rank2_freq_4w"", ""feat_rank4_freq_4w"", ""feat_rank5_freq_4w""]",,,column means shifted to 0.20 (released rule),1.4.2,4.7.0,108.28,2026-08-21T13:12:13Z
