model,family,n_observations,rps,rps_vs_naive,accuracy,accuracy_vs_random,macro_roc_auc,roc_auc_q1,roc_auc_q2,roc_auc_q3,roc_auc_q4,roc_auc_q5,ece_5bin,mean_confidence,mean_max_minus_accuracy,ece_10bin,ece_15bin
RF / no-KNN,Feature-based,1200,0.15705264,-0.00294736,0.265,0.065,0.610227,0.651545,0.533403,0.635477,0.591107,0.639605,0.004659,0.269659,0.004659,0.005039,0.019203
RF / KNN,Feature-based,1200,0.15714866,-0.00285134,0.259167,0.059167,0.608622,0.650252,0.538008,0.634896,0.583464,0.636493,0.01552,0.274687,0.01552,0.01552,0.020733
LightGBM / no-KNN,Feature-based,1200,0.15743151,-0.00256849,0.258333,0.058333,0.604776,0.639596,0.53671,0.63875,0.571814,0.63701,0.011735,0.270068,0.011735,0.01842,0.01874
Softmax / KNN,Feature-based,1200,0.15735544,-0.00264456,0.27,0.07,0.611991,0.640017,0.557964,0.624635,0.597756,0.639583,0.007605,0.269829,-0.000171,0.0173,0.012677
Chronos-2 120M (copula),TSFM,1200,0.16541773,0.00541773,0.265833,0.065833,0.599221,0.606387,0.548711,0.656157,0.580306,0.604544,0.045857,0.31169,0.045857,0.045857,0.045857
Chronos-2 120M (independent),TSFM,1200,0.16555873,0.00555873,0.2475,0.0475,0.585993,0.596766,0.545853,0.643277,0.546198,0.597869,0.0652,0.3127,0.0652,0.0652,0.0652
Financial Chronos 46M,TSFM,1200,0.17936823,0.01936823,0.223333,0.023333,0.533816,0.590408,0.477941,0.514677,0.554379,0.531673,0.172792,0.396125,0.172792,0.172792,0.172792
Chronos-T5 Base 200M,TSFM,1200,0.22689897,0.06689897,0.229167,0.029167,0.539824,0.572687,0.487348,0.590297,0.536602,0.512185,0.299908,0.529075,0.299908,0.299908,0.299908
Naive (0.2 each),Benchmark,1200,0.16,0.0,0.2,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0
