model,variant,mean_tuning_rps,hyperparameters,status,failed_round,failed_origin,failure_reason,rounds_completed,runtime_minutes,round_01_rps,round_02_rps,round_03_rps,round_04_rps,round_05_rps,round_06_rps,round_07_rps,round_08_rps,round_09_rps,round_10_rps,round_11_rps,round_12_rps,mean_m6_rps,vs_naive,sklearn_version,lightgbm_version,lgbm_boost_rounds,random_seed,evaluated_at,train_rows_min,train_rows_max,min_probability,max_probability,max_row_sum_error
lgbm,knn,0.15583815,"{""feature_fraction"": 0.8269326697629207, ""learning_rate"": 0.03258958266232332, ""max_depth"": 5, ""min_data_in_leaf"": 45, ""num_leaves"": 432, ""subsample"": 0.8149561631049148}",stopped_invalid_probability,11,2022-12-09,probability below 0 (min -0.001070),10,0.08,,,,,,,,,,,,,,,1.4.2,4.7.0,50,42,2026-08-21T16:39:53Z,,,,,
lgbm,no_knn,0.15595044,"{""feature_fraction"": 0.6104930788531148, ""learning_rate"": 0.03785517965977751, ""max_depth"": 5, ""min_data_in_leaf"": 50, ""num_leaves"": 192, ""subsample"": 0.716389099741822}",complete,,,,12,0.07,0.15463916,0.16341492,0.15760054,0.15780287,0.15598348,0.15356051,0.16094608,0.16208926,0.15421893,0.16018478,0.15448421,0.15425339,0.15743151,-0.00256849,1.4.2,4.7.0,50,42,2026-08-21T16:39:53Z,14163.0,15263.0,0.04381389,0.46814051,6.661338147750939e-16
rf,knn,0.15562389,"{""criterion"": ""gini"", ""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 6, ""min_samples_split"": 10, ""n_estimators"": 450}",complete,,,,12,0.51,0.15173004,0.16449409,0.15663569,0.15795696,0.15733902,0.15371499,0.16072304,0.16294512,0.15398404,0.15928862,0.15358435,0.15338793,0.15714866,-0.00285134,1.4.2,4.7.0,,42,2026-08-21T16:39:53Z,14163.0,15263.0,0.02226384,0.53062049,1.3322676295501878e-15
rf,no_knn,0.15561368,"{""criterion"": ""entropy"", ""max_depth"": 7, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""min_samples_split"": 8, ""n_estimators"": 450}",complete,,,,12,1.22,0.15239116,0.16348106,0.15667708,0.15795571,0.15731199,0.1533489,0.16040755,0.16302912,0.15451753,0.1590166,0.15299001,0.15350501,0.15705264,-0.00294736,1.4.2,4.7.0,,42,2026-08-21T16:39:53Z,14163.0,15263.0,0.01030834,0.47972417,1.1102230246251565e-15
