model,round,symbol,RPS
Financial Chronos Small 46M 2021 Global,1,XLU,0.17284000000000002
Financial Chronos Small 46M 2021 Global,1,XLV,0.046099999999999995
Financial Chronos Small 46M 2021 Global,1,XLY,0.09442000000000002
Financial Chronos Small 46M 2021 Global,1,XOM,0.16121999999999997
Financial Chronos Small 46M 2021 Global,2,ABBV,0.22020000000000003
Financial Chronos Small 46M 2021 Global,2,ACN,0.35914
Financial Chronos Small 46M 2021 Global,2,AEP,0.0874
Financial Chronos Small 46M 2021 Global,2,AIZ,0.06764
Financial Chronos Small 46M 2021 Global,2,ALLE,0.17212
Financial Chronos Small 46M 2021 Global,2,AMAT,0.26986000000000004
Financial Chronos Small 46M 2021 Global,2,AMP,0.42578000000000005
Financial Chronos Small 46M 2021 Global,2,AMZN,0.19178
Financial Chronos Small 46M 2021 Global,2,AVB,0.33082
Financial Chronos Small 46M 2021 Global,2,AVY,0.33175999999999994
Financial Chronos Small 46M 2021 Global,2,AXP,0.08133999999999998
Financial Chronos Small 46M 2021 Global,2,BDX,0.02761999999999999
Financial Chronos Small 46M 2021 Global,2,BF-B,0.20782000000000003
Financial Chronos Small 46M 2021 Global,2,BMY,0.26722
Financial Chronos Small 46M 2021 Global,2,BR,0.06163999999999999
Financial Chronos Small 46M 2021 Global,2,CARR,0.26471999999999996
Financial Chronos Small 46M 2021 Global,2,CDW,0.08234000000000001
Financial Chronos Small 46M 2021 Global,2,CE,0.24892000000000003
Financial Chronos Small 46M 2021 Global,2,CHTR,0.24678
Financial Chronos Small 46M 2021 Global,2,CNC,0.07322
Financial Chronos Small 46M 2021 Global,2,CNP,0.09566
Financial Chronos Small 46M 2021 Global,2,COP,0.10932
Financial Chronos Small 46M 2021 Global,2,CTAS,0.07776000000000001
Financial Chronos Small 46M 2021 Global,2,CZR,0.017799999999999996
Financial Chronos Small 46M 2021 Global,2,DG,0.30523999999999996
Financial Chronos Small 46M 2021 Global,2,DPZ,0.22504
Financial Chronos Small 46M 2021 Global,2,DRE,0.18044000000000002
Financial Chronos Small 46M 2021 Global,2,DXC,0.13734
Financial Chronos Small 46M 2021 Global,2,EWA,0.18119999999999997
Financial Chronos Small 46M 2021 Global,2,EWC,0.09019999999999999
Financial Chronos Small 46M 2021 Global,2,EWG,0.17557999999999999
Financial Chronos Small 46M 2021 Global,2,EWH,0.10668
Financial Chronos Small 46M 2021 Global,2,EWJ,0.11626
Financial Chronos Small 46M 2021 Global,2,EWL,0.08528000000000001
Financial Chronos Small 46M 2021 Global,2,EWQ,0.09998
Financial Chronos Small 46M 2021 Global,2,EWT,0.11597999999999997
Financial Chronos Small 46M 2021 Global,2,EWU,0.07286
Financial Chronos Small 46M 2021 Global,2,EWY,0.15217999999999998
Financial Chronos Small 46M 2021 Global,2,EWZ,0.30985999999999997
Financial Chronos Small 46M 2021 Global,2,FTV,0.08604
Financial Chronos Small 46M 2021 Global,2,GOOG,0.13
Financial Chronos Small 46M 2021 Global,2,GPC,0.22329999999999997
Financial Chronos Small 46M 2021 Global,2,GSG,0.07704000000000003
Financial Chronos Small 46M 2021 Global,2,HIG,0.09438
Financial Chronos Small 46M 2021 Global,2,HIGH.L,0.04266
Financial Chronos Small 46M 2021 Global,2,HST,0.18706
Financial Chronos Small 46M 2021 Global,2,HYG,0.11826
Financial Chronos Small 46M 2021 Global,2,IAU,0.174
Financial Chronos Small 46M 2021 Global,2,ICLN,0.14343999999999998
Financial Chronos Small 46M 2021 Global,2,IEAA.L,0.10212000000000002
Financial Chronos Small 46M 2021 Global,2,IEF,0.06814
Financial Chronos Small 46M 2021 Global,2,IEFM.L,0.07798000000000001
Financial Chronos Small 46M 2021 Global,2,IEMG,0.0839
Financial Chronos Small 46M 2021 Global,2,IEUS,0.08707999999999998
