Model (lower RPS is better),Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Overall Mean RPS
Naive equal-probability benchmark,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
Financial Chronos Small 46M 2021 Global,0.1573572,0.157182,0.18247319999999997,0.1770372,0.1927732,0.1909688,0.21530480000000002,0.1861388,0.177572,0.16856359999999998,0.1733732,0.17367480000000002,0.17936823333333332
Chronos T5 Base 200M,0.23089079999999998,0.2312492,0.208048,0.23031079999999998,0.21424759999999998,0.23401319999999998,0.19771360000000002,0.18598800000000001,0.2765268,0.1834236,0.202942,0.327434,0.22689896666666667
