scope,round,mean_RPS,naive_RPS,difference_vs_naive
round,1,0.195303,0.16,0.035303
round,2,0.167976,0.16,0.007976
round,3,0.160341,0.16,0.000341
round,4,0.165295,0.16,0.005295
round,5,0.159533,0.16,-0.000467
round,6,0.144711,0.16,-0.015289
round,7,0.171117,0.16,0.011117
round,8,0.156544,0.16,-0.003456
round,9,0.157027,0.16,-0.002973
round,10,0.17007,0.16,0.01007
round,11,0.149713,0.16,-0.010287
round,12,0.187384,0.16,0.027384
overall,,0.165418,0.16,0.005418
